Timestamp,Air_Temp,Relative_Humidity,Solar_Radiation,RTD,Array_Voltage,Array_Current,Power_Generated
20:00.0,15.671742,101.3718,0.121689,24.56329671,3.18198,5.401105,17.186208
25:00.0,15.671742,101.08786,0.121689,24.60015293,3.140812,5.401465,16.964984
30:00.0,15.626616,100.6486,0.22435,24.57341231,3.052281,5.401193,16.485956
35:00.0,15.609358,100.50266,0.121689,24.48707886,2.950291,5.401193,15.93509
40:00.0,15.590812,100.3565,0.072128,24.41266655,2.856571,5.401285,15.429154
45:00.0,15.557648,100.21636,0.028763,24.3153453,2.772007,5.401193,14.972146
50:00.0,15.532388,100.05958,0.121689,24.16842283,2.752445,5.401374,14.866984
55:00.0,15.512488,100.355,0.129654,24.04838925,2.213749,5.401105,11.95669
00:00.0,15.464726,100.53126,0.028763,23.99700253,2.215824,5.401014,11.967696
05:00.0,15.43285,101.2216,0.179214,23.91809179,2.174626,5.400925,11.744988
10:00.0,15.385054,101.50084,0.281876,23.8353041,2.160191,5.400833,11.66683
15:00.0,15.330592,101.79884,0.281876,23.74190905,2.181858,5.400833,11.783852
20:00.0,15.27351,101.79576,0.586319,23.68758367,2.129307,5.400476,11.49927
25:00.0,15.285438,101.94792,0.434097,23.70258018,2.131413,5.401105,11.511984
30:00.0,15.2695,101.9404,0.434097,23.65455266,2.135502,5.400925,11.533686
35:00.0,15.246932,102.0924,0.483658,23.57598862,2.133457,5.400833,11.522448
40:00.0,15.246932,102.39478,0.533218,23.51506219,2.149906,5.400562,11.610702
45:00.0,15.19777,102.68184,0.586319,23.49163413,2.159184,5.400833,11.66139
50:00.0,15.209716,102.2444,0.586319,23.58502121,2.141697,5.400748,11.566766
55:00.0,15.204386,102.23692,0.788101,23.60101876,2.154057,5.400202,11.63234
00:00.0,15.222588,102.4121,0.165497,23.61135427,2.191273,5.402251,11.837806
05:00.0,15.210642,102.26328,0.165497,23.65927045,2.267475,5.401979,12.248854
10:00.0,15.200034,102.11126,0.085846,23.7922308,2.324055,5.401979,12.554496
15:00.0,15.227932,101.66088,0.066376,23.98166871,2.355946,5.402071,12.726984
